序號,類別,題目,選項A,選項B,選項C,選項D,答案
1,不當內容認知,網路上的資訊五花八門，並非都適合各年齡層的使用者，以下哪一種屬於未滿 18 歲適合瀏覽的網站內容？,色情影片。,線上簽賭。,情色文學。,益智遊戲節目。,D
2,不當內容認知,在網路上散布不當的文字或影片內容可能涉及違法行為，以下哪一種行為不違法且合乎禮儀？,虐待動物的圖片、影片。,霸凌他人的言論、影片。,轉貼或販賣色情猥褻圖文影片、自拍猥褻內容。,到美食餐廳經店家同意後，在注意拍攝時間的情況下，進行美食照片拍攝與分享。,D
3,不當內容認知,當我們在瀏覽網頁時，螢幕畫面突然出現「是否已滿18歲」的彈跳視窗，這種狀況代表什麼意思？,該網頁內容可能含有成人內容，禁止未滿18歲使用者觀看。,一種新的網站驗證碼機制。,表示網站已遭受駭客攻擊，點擊該視窗可能會造成設備的危害。,網站正在對使用者的年齡進行調查統計。,A
4,不當內容認知,國小學童使用手機上網的比例已越來越高，為避免學童接觸不適合其年齡觀看的網路內容，家長應當如何因應？,只允許小孩上網觀看動畫影片。,在電腦與手機上安裝過濾軟體，例如教育部網路守護天使程式。,限制小孩上網的時間，小孩只能觀看電視。,採取封閉的態度禁止小孩接受多元的資訊。,B
5,不當內容認知,打擊網路不實資訊的方法，「不包括」以下哪一項？,不查驗。,不製造。,不散播。,不輕信。,A
6,行動上網安全,阿米在網路上購物想要透過線上刷卡的功能進行付款，請問在輸入信用卡資料時，下列哪一種是需要注意的資訊安全事項？,信用卡到期日是否有效。,注意網站是否採用安全的加密連線。,信用卡額度是否超額。,信用卡是否有現金回饋。,B
7,保護個人資料,為參加網路抽獎活動，在輸入自己的個人資料時，應注意什麼事項？,應詳閱網站的保密政策及隱私權政策，瞭解個人資料的使用範圍及目的。,活動提供的獎品是否為停產的型號。,獎品價值是否有超過一萬元以上。,得獎名單的公布日期。,A
8,保護個人資料,以下哪一種人的個人資料不受「個人資料保護法」的保護？,已死亡者。,80歲以上的年長者。,未成年者。,自然人。,A
9,保護個人資料,有關我國「個人資料保護法」主要目的為避免人格權受到侵害，請問其中所指的個人資料「不包含」下列哪一項？,姓名與身分證字號。,醫療與病例資料。,犯罪前科紀錄。,外貌美醜。,D
10,保護個人資料,個人資料遭受洩漏的事件時有所聞，以下哪一項「不是」導致此情形的原因？,國內對於個資外洩沒有相關的罰則。,輕忽駭客入侵的風險。,網站平臺的系統漏洞沒有修補。,個人資料保護的防護措施不周全。,A
